    Finished release [optimized] target(s) in 0.00s
     Running `target/release/shortest-path-server`
7,9,11031,12,6
65536,32768,11472,5047,8716
5,4,11009,2,2
4,2,10928,2,2
7,9,10293,6,7
65536,32768,11371,4389,8347
5,4,10045,2,4
4,2,10291,2,2
7,9,10340,3,4
65536,32768,12385,3907,7313
5,4,10992,2,4
4,2,10316,2,2
7,9,10120,4,5
65536,32768,11402,4680,7278
5,4,10775,2,13
4,2,10355,2,2
7,9,11006,2,3
65536,32768,10567,4106,6828
5,4,10259,2,4
4,2,11144,2,2
7,9,10381,4,4
65536,32768,12471,3911,6713
5,4,10376,2,4
4,2,10274,2,2
7,9,10149,3,4
65536,32768,11455,3515,7529
5,4,10975,2,4
4,2,11193,2,2
7,9,10237,3,4
65536,32768,12479,4910,6854
5,4,10162,2,5
4,2,11243,3,3
7,9,11132,2,3
65536,32768,11534,3632,7164
5,4,11902,2,14
4,2,10095,3,3
7,9,11080,2,4
65536,32768,10558,3545,7265
5,4,10491,2,4
4,2,10314,2,2
7,9,10352,2,4
65536,32768,11511,4364,7011
5,4,10492,2,4
4,2,11244,2,2
7,9,11343,2,3
65536,32768,10571,3812,7149
5,4,11040,2,4
4,2,11392,2,2
7,9,10447,2,4
65536,32768,11614,4006,7222
5,4,11402,2,15
4,2,11452,2,12
7,9,10218,2,4
65536,32768,11702,3633,6732
5,4,10815,2,4
4,2,10343,2,2
7,9,11404,2,4
65536,32768,10720,4021,7296
5,4,11516,2,5
4,2,11395,2,2
7,9,10094,3,3
65536,32768,10560,4931,6653
5,4,10465,2,4
4,2,10450,2,2
7,9,10151,3,4
65536,32768,10584,3424,7190
5,4,10671,2,4
4,2,10095,2,2
7,9,11368,5,15
65536,32768,11279,3693,7411
5,4,10164,2,4
4,2,10331,2,2
7,9,10508,12,4
65536,32768,10619,3244,7303
5,4,10727,4,16
4,2,10430,2,2
7,9,10925,11,4
65536,32768,10606,3270,7544
5,4,10513,2,4
4,2,10237,3,3
7,9,10704,11,3
65536,32768,11006,3283,10869
5,4,10787,3,6
4,2,10337,4,3
7,9,10789,13,5
65536,32768,10689,3454,7421
5,4,11266,3,7
4,2,10183,4,4
7,9,10949,3,4
65536,32768,10548,3945,7524
5,4,10314,2,5
4,2,10180,3,4
7,9,10985,4,5
65536,32768,10590,3903,8001
5,4,10137,2,4
4,2,11088,2,2
7,9,11191,2,4
65536,32768,12129,6070,7084
5,4,11019,2,5
4,2,11426,2,2
7,9,10431,3,4
65536,32768,11354,3527,7015
5,4,11805,2,5
4,2,10371,2,2
7,9,11354,3,4
65536,32768,10770,3648,7274
5,4,11974,3,5
4,2,11472,11,2
7,9,10135,3,4
65536,32768,11071,3826,6775
5,4,10664,2,5
4,2,10331,2,2
7,9,10276,4,6
65536,32768,11353,3749,7047
5,4,10175,2,5
4,2,10230,2,2
7,9,10365,3,4
65536,32768,10654,3469,7651
5,4,10850,2,5
4,2,10363,12,3
7,9,10065,3,4
65536,32768,11297,3343,7380
5,4,10401,2,15
4,2,10443,2,2
7,9,10878,2,4
65536,32768,10675,3211,7790
5,4,10322,2,4
4,2,10864,3,3
7,9,11925,4,5
65536,32768,10625,3255,10389
5,4,10724,2,4
4,2,11325,2,2
7,9,11333,2,4
65536,32768,12403,5431,6790
5,4,10670,2,5
4,2,10403,2,2
7,9,10477,3,4
65536,32768,12413,3741,7307
5,4,10976,2,5
4,2,10298,2,2
7,9,12046,3,4
65536,32768,10721,3614,7042
5,4,10246,2,5
4,2,10340,2,2
7,9,10307,3,4
65536,32768,10753,3492,7262
5,4,10531,2,5
4,2,10156,2,2
7,9,11443,3,4
65536,32768,11447,6301,7187
5,4,10364,2,5
4,2,10762,2,2
7,9,10857,2,4
65536,32768,12454,3797,6995
5,4,10340,2,5
4,2,10332,11,2
7,9,11053,3,4
65536,32768,11264,3613,6670
5,4,10864,5,8
4,2,10424,2,2
7,9,10346,3,4
65536,32768,10646,3923,7417
5,4,10924,3,5
4,2,10152,2,2
7,9,10358,3,5
65536,32768,11393,3649,7701
5,4,10141,2,5
4,2,10125,2,3
7,9,10549,3,4
65536,32768,11165,3263,7380
5,4,10822,2,5
