    Finished dev [unoptimized + debuginfo] target(s) in 0.00s
     Running `target/debug/shortest-path-server`
7,9,10588,43,40
65536,32768,43630,80253,132166
5,4,11020,24,31
4,2,12024,21,22
7,9,10963,45,41
65536,32768,45560,77881,131295
5,4,10865,24,28
4,2,11450,29,21
7,9,11770,34,36
65536,32768,45173,78002,126066
5,4,10478,25,28
4,2,10263,20,21
7,9,10396,35,35
65536,32768,45533,80608,132424
5,4,10893,25,29
4,2,10577,19,21
7,9,11444,34,36
65536,32768,44921,81630,127935
5,4,10078,25,41
4,2,10382,20,22
7,9,11352,61,52
65536,32768,44397,78883,127664
5,4,10241,25,29
4,2,10367,19,21
7,9,10294,34,35
65536,32768,45870,77546,127875
5,4,11094,32,35
4,2,10209,19,21
7,9,11050,63,66
65536,32768,46433,77878,135672
5,4,10195,24,29
4,2,10126,20,21
7,9,10605,35,36
65536,32768,44670,79078,136225
5,4,10944,25,37
4,2,10113,22,23
7,9,10101,37,38
65536,32768,44163,78465,128003
5,4,10452,24,29
4,2,10099,19,21
7,9,10182,38,39
65536,32768,43621,76990,128581
5,4,11068,24,29
4,2,10078,19,21
7,9,11346,34,37
65536,32768,43874,77434,130423
5,4,10748,25,30
4,2,10500,18,20
7,9,10151,35,37
65536,32768,45221,77928,127872
5,4,11979,24,27
4,2,10305,23,23
7,9,10313,52,56
65536,32768,44120,77968,128656
5,4,11036,25,30
4,2,10255,19,21
7,9,10453,42,51
65536,32768,46711,79251,127755
5,4,10944,26,30
4,2,10129,19,21
7,9,10990,35,42
65536,32768,47036,79451,127857
5,4,11010,30,30
4,2,10327,30,32
7,9,10906,37,46
65536,32768,44524,80333,132882
5,4,10401,30,32
4,2,10604,19,21
7,9,10796,54,46
65536,32768,45570,83660,133664
5,4,10669,24,30
4,2,11701,19,21
7,9,10983,35,37
65536,32768,44524,78464,128636
5,4,10288,25,28
4,2,10253,19,21
7,9,11210,49,53
65536,32768,44063,77390,127554
5,4,11979,33,31
4,2,11366,20,23
7,9,11294,34,37
65536,32768,43495,77865,128243
5,4,10718,24,28
4,2,10239,19,21
7,9,10364,34,36
65536,32768,46586,78366,130802
5,4,10096,24,30
4,2,10395,21,23
7,9,11614,35,36
65536,32768,43699,79180,127166
5,4,10730,24,29
4,2,10368,20,21
7,9,10150,35,37
